year,pres_party,in_original,vote_share_incumbent,normal_vote_prev8,vote_loss,pres_approval,approval_window,delta_rdi,dpi_pc_delta_ch2017,dpi_pc_pct_yoy
1938,D,True,50.82,57.18,-6.36,57,Late Oct (Tufte),-82.0,-490.0,-6.22
1942,D,False,,,,74,Early Sep,,1172.0,12.14
1946,D,True,45.27,52.57,-7.3,32,Late Oct (Tufte),-36.0,-241.0,-2.16
1950,D,True,50.04,52.04,-2.0,43,Late Oct (Tufte),99.0,783.0,7.44
1954,R,True,47.46,49.79,-2.33,65,Late Oct (Tufte),-12.0,-41.0,-0.34
1958,R,True,43.9,49.83,-5.93,56,Late Oct (Tufte),-13.0,-80.0,-0.61
1962,D,True,52.42,51.63,0.79,67,Late Oct (Tufte),60.0,444.0,3.26
1966,D,True,51.33,53.06,-1.73,48,Late Oct (Tufte),96.0,657.0,4.12
1970,R,True,45.68,46.66,-0.98,56,Late Oct (Tufte),69.0,621.0,3.42
1974,R,False,,,,53,Early Oct,,-431.0,-2.03
1978,D,False,,,,45,Late Oct,,757.0,3.44
1982,R,False,,,,42,Late Oct,,279.0,1.21
1986,R,False,,,,64,Early Oct,,745.0,2.87
1990,R,False,,,,57,Late Oct,,265.0,0.93
1994,D,False,,,,48,Late Oct,,441.0,1.49
1998,D,False,,,,65,Late Oct,,1492.0,4.67
2002,R,False,,,,67,Late Oct,,759.0,2.1
2006,R,False,,,,37,Late Oct,,1018.0,2.65
2010,D,False,,,,45,Late Oct,,415.0,1.04
2014,D,False,,,,41,Late Oct,,1078.0,2.64
2018,R,False,,,,44,Late Oct,,1349.0,3.02
2022,D,False,,,,40,Late Oct,,-3112.0,-6.03
